kind,cpus,n_cpus,load_pct,repeat,status,generation_decode_ms,elapsed_s,log
multi,"61,63",2,50,0,ok,91.0356,0.8437032699584961,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_61_63_load50_rep0.log
multi,"60,61",2,60,0,ok,91.8081,0.8306427001953125,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_load60_rep0.log
multi,"60,61,62,63",4,60,0,ok,51.4198,0.8037109375,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_load60_rep0.log
multi,"60,61,62,63,64,65",6,60,0,ok,36.9145,0.9469735622406006,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_load60_rep0.log
multi,"60,61,62,63,64,65,66,67",8,60,0,ok,35.1541,0.8718211650848389,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_66_67_load60_rep0.log
multi,"60,62",2,60,0,ok,86.3118,0.8970754146575928,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_62_load60_rep0.log
multi,"61,63",2,60,0,ok,89.1878,0.8398056030273438,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_61_63_load60_rep0.log
multi,"60,61",2,70,0,ok,85.1363,0.8445117473602295,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_load70_rep0.log
multi,"60,61,62,63",4,70,0,ok,47.2307,0.7904562950134277,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_load70_rep0.log
multi,"60,61,62,63,64,65",6,70,0,ok,36.417,0.7793664932250977,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_load70_rep0.log
multi,"60,61,62,63,64,65,66,67",8,70,0,ok,31.783,0.8641517162322998,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_66_67_load70_rep0.log
multi,"60,62",2,70,0,ok,86.382,0.8670048713684082,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_62_load70_rep0.log
multi,"61,63",2,70,0,ok,85.9322,0.8406741619110107,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_61_63_load70_rep0.log
multi,"60,61",2,80,0,ok,84.3778,0.8470911979675293,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_load80_rep0.log
multi,"60,61,62,63",4,80,0,ok,49.8486,0.7745702266693115,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_load80_rep0.log
multi,"60,61,62,63,64,65",6,80,0,ok,36.9135,0.760857343673706,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_load80_rep0.log
multi,"60,61,62,63,64,65,66,67",8,80,0,ok,32.4744,0.9295287132263184,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_61_62_63_64_65_66_67_load80_rep0.log
multi,"60,62",2,80,0,ok,85.1888,0.867499589920044,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_60_62_load80_rep0.log
multi,"61,63",2,80,0,ok,90.7623,0.8334617614746094,src/llama.cpp/exp12_algorithms/results/additivity_full_20260429_r1/multi_61_63_load80_rep0.log
