# threads=8 warmup=10 repeat=100 n_cols=1 type=q4_0
case,in,out,rank,type,n_cols,fused_median_ms,two_mul_mat_median_ms,speedup_vs_two_mul_mat,fused_avg_ms,two_mul_mat_avg_ms,max_abs_diff
qwen_ffn_up_gate_r192,1536,8960,192,q4_0,1,0.067488,0.060008,0.889170,0.072889,0.063394,0.000000
qwen_ffn_up_gate_r384,1536,8960,384,q4_0,1,0.076571,0.083556,1.091232,0.078281,0.093750,0.000000
qwen_ffn_up_gate_r768,1536,8960,768,q4_0,1,0.128137,0.137326,1.071717,0.129429,0.166710,0.000000
qwen_ffn_down_r192,8960,1536,192,q4_0,1,0.052249,0.118974,2.277055,0.065220,0.117402,0.000000
qwen_ffn_down_r384,8960,1536,384,q4_0,1,0.076185,0.220932,2.899932,0.078111,0.216990,0.000000
qwen_ffn_down_r768,8960,1536,768,q4_0,1,0.127295,0.318624,2.503049,0.134291,0.338327,0.000000
