# threads=8 warmup=10 repeat=100 n_cols=1 type=f16
case,in,out,rank,type,n_cols,fused_median_ms,two_mul_mat_median_ms,speedup_vs_two_mul_mat,fused_avg_ms,two_mul_mat_avg_ms,max_abs_diff
qwen_ffn_up_gate_r192,1536,8960,192,f16,1,0.055590,0.068789,1.237434,0.071814,0.073458,0.000000
qwen_ffn_up_gate_r384,1536,8960,384,f16,1,0.067965,0.093053,1.369138,0.068833,0.112869,0.000000
qwen_ffn_up_gate_r768,1536,8960,768,f16,1,0.128027,0.188679,1.473742,0.128502,0.209500,0.000000
qwen_ffn_down_r192,8960,1536,192,f16,1,0.078668,0.118839,1.510650,0.083354,0.117490,0.000000
qwen_ffn_down_r384,8960,1536,384,f16,1,0.097095,0.101320,1.043512,0.101652,0.102600,0.000000
qwen_ffn_down_r768,8960,1536,768,f16,1,0.168756,0.174327,1.033014,0.168613,0.213049,0.000000
