# threads=8 warmup=10 repeat=100 n_cols=1 type=f32
case,in,out,rank,type,n_cols,fused_median_ms,two_mul_mat_median_ms,speedup_vs_two_mul_mat,fused_avg_ms,two_mul_mat_avg_ms,max_abs_diff
qwen_ffn_up_gate_r192,1536,8960,192,f32,1,0.054216,0.057828,1.066614,0.073274,0.066257,0.000000
qwen_ffn_up_gate_r384,1536,8960,384,f32,1,0.112295,0.115096,1.024943,0.118462,0.125540,0.000000
qwen_ffn_up_gate_r768,1536,8960,768,f32,1,0.252541,0.306679,1.214374,0.262861,0.313588,0.000000
qwen_ffn_down_r192,8960,1536,192,f32,1,0.052231,0.056805,1.087569,0.053544,0.070828,0.000000
qwen_ffn_down_r384,8960,1536,384,f32,1,0.122299,0.124620,1.018980,0.122673,0.132800,0.000000
qwen_ffn_down_r768,8960,1536,768,f32,1,0.272122,0.362714,1.332907,0.273396,0.353925,0.000000
