# threads=8 warmup=5 repeat=20 n_cols=1 type=q4_0
case,in,out,rank,type,n_cols,fused_median_ms,two_mul_mat_median_ms,speedup_vs_two_mul_mat,fused_avg_ms,two_mul_mat_avg_ms,max_abs_diff
qwen_ffn_up_gate_r192,1536,8960,192,q4_0,1,0.100407,0.062134,0.618821,0.109240,0.063273,0.000000
qwen_ffn_up_gate_r384,1536,8960,384,q4_0,1,0.071747,0.080242,1.118407,0.071578,0.096588,0.000000
qwen_ffn_up_gate_r768,1536,8960,768,q4_0,1,0.123023,0.150245,1.221273,0.124204,0.172523,0.000000
qwen_ffn_down_r192,8960,1536,192,q4_0,1,0.088540,0.135448,1.529787,0.085385,0.130668,0.000000
qwen_ffn_down_r384,8960,1536,384,q4_0,1,0.096456,0.260409,2.699785,0.098229,0.244287,0.000000
qwen_ffn_down_r768,8960,1536,768,q4_0,1,0.170510,0.500827,2.937223,0.174589,0.476886,0.000000
