# threads=8 warmup=10 repeat=100 n_cols=1 type=f32
case,in,out,mid_dim,type,n_cols,fused_median_ms,two_mul_mat_median_ms,speedup_vs_two_mul_mat,fused_avg_ms,two_mul_mat_avg_ms,max_abs_diff
square_512,512,512,512,f32,1,0.039577,0.177924,4.495590,0.131090,0.211458,0.000000
square_1024,1024,1024,1024,f32,1,0.062369,0.158444,2.540421,0.078653,0.157813,0.000000
square_1536,1536,1536,1536,f32,1,0.132781,0.135812,1.022825,0.137926,0.138046,0.000000
qwen_ffn_up_gate_full,1536,8960,1536,f32,1,0.916568,1.074027,1.171792,0.918271,1.077631,0.000000
qwen_ffn_down_full,8960,1536,1536,f32,1,0.947725,0.963664,1.016818,0.948024,0.966312,0.000000
