# threads=8 warmup=5 repeat=20 n_cols=1 type=f32
case,in,out,rank,type,n_cols,fused_median_ms,two_mul_mat_median_ms,speedup_vs_two_mul_mat,fused_avg_ms,two_mul_mat_avg_ms,max_abs_diff
qwen_ffn_up_gate_r192,1536,8960,192,f32,1,0.104990,0.054928,0.523172,0.106327,0.064484,0.000000
qwen_ffn_up_gate_r384,1536,8960,384,f32,1,0.111753,0.119526,1.069550,0.116642,0.122636,0.000000
qwen_ffn_up_gate_r768,1536,8960,768,f32,1,0.271129,0.342135,1.261893,0.278346,0.347123,0.000000
qwen_ffn_down_r192,8960,1536,192,f32,1,0.066921,0.067006,1.001268,0.067388,0.082805,0.000000
qwen_ffn_down_r384,8960,1536,384,f32,1,0.150556,0.159936,1.062305,0.152262,0.174971,0.000000
qwen_ffn_down_r768,8960,1536,768,f32,1,0.341678,0.467993,1.369691,0.341494,0.473241,0.000000
