cpu_load,policy,runs,decode_tok_s_mean,decode_tok_s_stdev,generation_decode_ms_mean,speedup_vs_no_timeout,generated_text_match_rate,top1_match_rate
20,timeout_budget_0,2,31.186349999999997,2.1277550152684404,32.140100000000004,1.0,1.0,1.0
20,timeout_budget_16,2,18.3221,19.21350545840087,121.242,0.5875038277964558,1.0,1.0
20,timeout_budget_2,2,32.47455,0.3147332283061298,30.79475,1.0413065331467133,1.0,1.0
20,timeout_budget_4,2,18.976869999999998,20.07084414631831,119.5753,0.6084992312341778,1.0,1.0
20,timeout_budget_8,2,19.027085,19.56128178659185,111.46,0.6101093908071962,1.0,1.0
50,timeout_budget_0,2,32.559799999999996,0.2913279938488569,30.71395,1.0,1.0,1.0
50,timeout_budget_16,2,30.0604,0.5594628852747964,33.272149999999996,0.9232366292176244,1.0,1.0
50,timeout_budget_2,2,32.429249999999996,0.0748826081276542,30.83645,0.9959904544868212,1.0,1.0
50,timeout_budget_4,2,18.007810000000003,20.720053024261304,164.27365,0.5530688149190107,1.0,1.0
50,timeout_budget_8,2,17.74064,19.39772091703559,140.1378,0.5448632976861038,1.0,1.0
80,timeout_budget_0,2,2.3931425,3.1566201306322084,3212.248,1.0,1.0,1.0
80,timeout_budget_16,2,0.649811,0.6983938114287669,3642.897,0.27153042495380025,1.0,1.0
80,timeout_budget_2,2,0.299354,0.20275297001030587,4334.79,0.12508824693890983,1.0,1.0
80,timeout_budget_4,2,0.15671649999999998,0.00046739758236430433,6380.98,0.06548565327806428,1.0,1.0
80,timeout_budget_8,2,2.1610085000000003,2.840195502905478,3394.5935,0.903000343690357,1.0,1.0
