task,policy_id,source,prune_fraction,ppl,acc,num_pruned_modules,plan_json
resnet50,10,synthetic,0.09460864704391404,,0.375,10,"{""resnet.embedder.embedder.convolution"": 0.6728904619195352, ""resnet.encoder.stages.0.layers.2.layer.0.convolution"": 0.47501318503252044, ""resnet.encoder.stages.0.layers.2.layer.1.convolution"": 0.8020605251035681, ""resnet.encoder.stages.1.layers.0.shortcut.convolution"": 0.49668636320317316, ""resnet.encoder.stages.1.layers.1.layer.1.convolution"": 0.7103553416203996, ""resnet.encoder.stages.1.layers.2.layer.0.convolution"": 0.7552996259548868, ""resnet.encoder.stages.2.layers.3.layer.1.convolution"": 0.8000138541703146, ""resnet.encoder.stages.3.layers.0.layer.0.convolution"": 0.8920797511626641, ""resnet.encoder.stages.3.layers.0.layer.1.convolution"": 0.47147730748794564, ""resnet.encoder.stages.3.layers.1.layer.1.convolution"": 0.6369966025063536}"
resnet50,10,real,0.09460864704391404,,0.75,10,"{""resnet.embedder.embedder.convolution"": 0.6728904619195352, ""resnet.encoder.stages.0.layers.2.layer.0.convolution"": 0.47501318503252044, ""resnet.encoder.stages.0.layers.2.layer.1.convolution"": 0.8020605251035681, ""resnet.encoder.stages.1.layers.0.shortcut.convolution"": 0.49668636320317316, ""resnet.encoder.stages.1.layers.1.layer.1.convolution"": 0.7103553416203996, ""resnet.encoder.stages.1.layers.2.layer.0.convolution"": 0.7552996259548868, ""resnet.encoder.stages.2.layers.3.layer.1.convolution"": 0.8000138541703146, ""resnet.encoder.stages.3.layers.0.layer.0.convolution"": 0.8920797511626641, ""resnet.encoder.stages.3.layers.0.layer.1.convolution"": 0.47147730748794564, ""resnet.encoder.stages.3.layers.1.layer.1.convolution"": 0.6369966025063536}"
resnet50,11,synthetic,0.02791665516471217,,0.625,10,"{""resnet.embedder.embedder.convolution"": 0.5619732569193262, ""resnet.encoder.stages.0.layers.0.shortcut.convolution"": 0.7030609536980605, ""resnet.encoder.stages.1.layers.2.layer.1.convolution"": 0.7896347519210207, ""resnet.encoder.stages.2.layers.1.layer.0.convolution"": 0.7630462546281611, ""resnet.encoder.stages.2.layers.1.layer.2.convolution"": 0.8625606422651588, ""resnet.encoder.stages.2.layers.3.layer.0.convolution"": 0.844315952432826, ""resnet.encoder.stages.2.layers.4.layer.0.convolution"": 0.5128883576976577, ""resnet.encoder.stages.2.layers.4.layer.1.convolution"": 0.7606590829386488, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.7121108758482797, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.6681992306207527}"
resnet50,11,real,0.02791665516471217,,0.5,10,"{""resnet.embedder.embedder.convolution"": 0.5619732569193262, ""resnet.encoder.stages.0.layers.0.shortcut.convolution"": 0.7030609536980605, ""resnet.encoder.stages.1.layers.2.layer.1.convolution"": 0.7896347519210207, ""resnet.encoder.stages.2.layers.1.layer.0.convolution"": 0.7630462546281611, ""resnet.encoder.stages.2.layers.1.layer.2.convolution"": 0.8625606422651588, ""resnet.encoder.stages.2.layers.3.layer.0.convolution"": 0.844315952432826, ""resnet.encoder.stages.2.layers.4.layer.0.convolution"": 0.5128883576976577, ""resnet.encoder.stages.2.layers.4.layer.1.convolution"": 0.7606590829386488, ""resnet.encoder.stages.2.layers.4.layer.2.convolution"": 0.7121108758482797, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.6681992306207527}"
resnet50,12,synthetic,0.08009626508533614,,0.0,10,"{""resnet.encoder.stages.0.layers.0.layer.0.convolution"": 0.6525149417073646, ""resnet.encoder.stages.0.layers.0.layer.1.convolution"": 0.5809794876411916, ""resnet.encoder.stages.0.layers.1.layer.1.convolution"": 0.542047806773038, ""resnet.encoder.stages.2.layers.0.layer.0.convolution"": 0.6876324186070298, ""resnet.encoder.stages.2.layers.0.layer.2.convolution"": 0.5437135338547758, ""resnet.encoder.stages.2.layers.4.layer.0.convolution"": 0.6056470412771524, ""resnet.encoder.stages.2.layers.4.layer.1.convolution"": 0.6930481516672918, ""resnet.encoder.stages.2.layers.5.layer.2.convolution"": 0.7847490819693668, ""resnet.encoder.stages.3.layers.2.layer.0.convolution"": 0.7225140116770604, ""resnet.encoder.stages.3.layers.2.layer.1.convolution"": 0.48158355919430507}"
resnet50,12,real,0.08009626508533614,,0.75,10,"{""resnet.encoder.stages.0.layers.0.layer.0.convolution"": 0.6525149417073646, ""resnet.encoder.stages.0.layers.0.layer.1.convolution"": 0.5809794876411916, ""resnet.encoder.stages.0.layers.1.layer.1.convolution"": 0.542047806773038, ""resnet.encoder.stages.2.layers.0.layer.0.convolution"": 0.6876324186070298, ""resnet.encoder.stages.2.layers.0.layer.2.convolution"": 0.5437135338547758, ""resnet.encoder.stages.2.layers.4.layer.0.convolution"": 0.6056470412771524, ""resnet.encoder.stages.2.layers.4.layer.1.convolution"": 0.6930481516672918, ""resnet.encoder.stages.2.layers.5.layer.2.convolution"": 0.7847490819693668, ""resnet.encoder.stages.3.layers.2.layer.0.convolution"": 0.7225140116770604, ""resnet.encoder.stages.3.layers.2.layer.1.convolution"": 0.48158355919430507}"
resnet50,13,synthetic,0.045654825613639725,,0.0,10,"{""resnet.embedder.embedder.convolution"": 0.857169721431128, ""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.5680521481604874, ""resnet.encoder.stages.1.layers.0.layer.0.convolution"": 0.6699921148345873, ""resnet.encoder.stages.1.layers.1.layer.1.convolution"": 0.49777859945984193, ""resnet.encoder.stages.2.layers.1.layer.2.convolution"": 0.8411611290590526, ""resnet.encoder.stages.2.layers.2.layer.0.convolution"": 0.522642457070556, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.5696247229625657, ""resnet.encoder.stages.2.layers.5.layer.2.convolution"": 0.808582945771126, ""resnet.encoder.stages.3.layers.0.layer.2.convolution"": 0.8359741310558876, ""resnet.encoder.stages.3.layers.1.layer.0.convolution"": 0.5861288707458489}"
resnet50,13,real,0.045654825613639725,,0.5,10,"{""resnet.embedder.embedder.convolution"": 0.857169721431128, ""resnet.encoder.stages.0.layers.2.layer.2.convolution"": 0.5680521481604874, ""resnet.encoder.stages.1.layers.0.layer.0.convolution"": 0.6699921148345873, ""resnet.encoder.stages.1.layers.1.layer.1.convolution"": 0.49777859945984193, ""resnet.encoder.stages.2.layers.1.layer.2.convolution"": 0.8411611290590526, ""resnet.encoder.stages.2.layers.2.layer.0.convolution"": 0.522642457070556, ""resnet.encoder.stages.2.layers.5.layer.1.convolution"": 0.5696247229625657, ""resnet.encoder.stages.2.layers.5.layer.2.convolution"": 0.808582945771126, ""resnet.encoder.stages.3.layers.0.layer.2.convolution"": 0.8359741310558876, ""resnet.encoder.stages.3.layers.1.layer.0.convolution"": 0.5861288707458489}"
resnet50,14,synthetic,0.06239162021968315,,0.0,10,"{""resnet.encoder.stages.0.layers.0.layer.0.convolution"": 0.8415475966463031, ""resnet.encoder.stages.0.layers.1.layer.1.convolution"": 0.6813819340234722, ""resnet.encoder.stages.1.layers.0.layer.1.convolution"": 0.6089244681918867, ""resnet.encoder.stages.1.layers.0.layer.2.convolution"": 0.6005831216889509, ""resnet.encoder.stages.1.layers.1.layer.1.convolution"": 0.453069403559007, ""resnet.encoder.stages.1.layers.2.layer.2.convolution"": 0.6080476286854448, ""resnet.encoder.stages.2.layers.4.layer.0.convolution"": 0.7745586337300985, ""resnet.encoder.stages.2.layers.4.layer.1.convolution"": 0.47635455557675144, ""resnet.encoder.stages.3.layers.0.shortcut.convolution"": 0.6968999857543764, ""resnet.encoder.stages.3.layers.1.layer.1.convolution"": 0.8350877595708234}"
resnet50,14,real,0.06239162021968315,,0.75,10,"{""resnet.encoder.stages.0.layers.0.layer.0.convolution"": 0.8415475966463031, ""resnet.encoder.stages.0.layers.1.layer.1.convolution"": 0.6813819340234722, ""resnet.encoder.stages.1.layers.0.layer.1.convolution"": 0.6089244681918867, ""resnet.encoder.stages.1.layers.0.layer.2.convolution"": 0.6005831216889509, ""resnet.encoder.stages.1.layers.1.layer.1.convolution"": 0.453069403559007, ""resnet.encoder.stages.1.layers.2.layer.2.convolution"": 0.6080476286854448, ""resnet.encoder.stages.2.layers.4.layer.0.convolution"": 0.7745586337300985, ""resnet.encoder.stages.2.layers.4.layer.1.convolution"": 0.47635455557675144, ""resnet.encoder.stages.3.layers.0.shortcut.convolution"": 0.6968999857543764, ""resnet.encoder.stages.3.layers.1.layer.1.convolution"": 0.8350877595708234}"
