cpu_load,timeout_budget_ms,baseline_no_svd_tok_s,scheduled_svd_timeout_tok_s,throughput_delta_tok_s,speedup_vs_no_svd_baseline,scheduled_tok_s_stdev,text_match_vs_no_timeout_svd,top1_match_vs_no_timeout_svd
20,0,30.5665,31.186349999999997,0.619849999999996,1.0202787365252808,2.1277550152684404,1.0,1.0
20,2,30.5665,32.47455,1.9080499999999994,1.0624229139744492,0.3147332283061298,1.0,1.0
20,4,30.5665,18.976869999999998,-11.589630000000003,0.6208388268202116,20.07084414631831,1.0,1.0
20,8,30.5665,19.027085,-11.539415000000002,0.6224816383949748,19.56128178659185,1.0,1.0
20,16,30.5665,18.3221,-12.244400000000002,0.5994176631279341,19.21350545840087,1.0,1.0
50,0,12.636853333333335,32.559799999999996,19.92294666666666,2.5765749701402454,0.2913279938488569,1.0,1.0
50,2,12.636853333333335,32.429249999999996,19.79239666666666,2.5662440755293505,0.0748826081276542,1.0,1.0
50,4,12.636853333333335,18.007810000000003,5.370956666666668,1.4250232652854509,20.720053024261304,1.0,1.0
50,8,12.636853333333335,17.74064,5.1037866666666645,1.4038811349660885,19.39772091703559,1.0,1.0
50,16,12.636853333333335,30.0604,17.423546666666667,2.378788390358781,0.5594628852747964,1.0,1.0
80,0,0.19627499999999998,2.3931425,2.1968675,12.192803464526815,3.1566201306322084,1.0,1.0
80,2,0.19627499999999998,0.299354,0.10307900000000003,1.5251764106483252,0.20275297001030587,1.0,1.0
80,4,0.19627499999999998,0.15671649999999998,-0.039558499999999996,0.798453700165584,0.00046739758236430433,1.0,1.0
80,8,0.19627499999999998,2.1610085000000003,1.9647335000000004,11.010105719016689,2.840195502905478,1.0,1.0
80,16,0.19627499999999998,0.649811,0.45353600000000005,3.310717106101134,0.6983938114287669,1.0,1.0
