op,in_shapes,out_shape,D,T,group,backend,device,avg_ms
VIEW_1D,"{8,16,1,1}",{128},8,16,1,cpu-ggml,host,0.008041
VIEW_1D,"{8,16,2,1}",{256},8,16,2,cpu-ggml,host,0.004184
VIEW_1D,"{8,16,4,1}",{512},8,16,4,cpu-ggml,host,0.003608
VIEW_1D,"{8,16,8,1}",{1024},8,16,8,cpu-ggml,host,0.002766
VIEW_1D,"{8,256,1,1}",{2048},8,256,1,cpu-ggml,host,0.003004
VIEW_1D,"{8,256,2,1}",{4096},8,256,2,cpu-ggml,host,0.002770
VIEW_1D,"{8,256,4,1}",{8192},8,256,4,cpu-ggml,host,0.002763
VIEW_1D,"{8,256,8,1}",{16384},8,256,8,cpu-ggml,host,0.002770
VIEW_1D,"{8,1024,1,1}",{8192},8,1024,1,cpu-ggml,host,0.002764
VIEW_1D,"{8,1024,2,1}",{16384},8,1024,2,cpu-ggml,host,0.002763
VIEW_1D,"{8,1024,4,1}",{32768},8,1024,4,cpu-ggml,host,0.002778
VIEW_1D,"{8,1024,8,1}",{65536},8,1024,8,cpu-ggml,host,0.003097
VIEW_1D,"{64,16,1,1}",{1024},64,16,1,cpu-ggml,host,0.002770
VIEW_1D,"{64,16,2,1}",{2048},64,16,2,cpu-ggml,host,0.002763
VIEW_1D,"{64,16,4,1}",{4096},64,16,4,cpu-ggml,host,0.002757
VIEW_1D,"{64,16,8,1}",{8192},64,16,8,cpu-ggml,host,0.002761
VIEW_1D,"{64,256,1,1}",{16384},64,256,1,cpu-ggml,host,0.002886
VIEW_1D,"{64,256,2,1}",{32768},64,256,2,cpu-ggml,host,0.002110
VIEW_1D,"{64,256,4,1}",{65536},64,256,4,cpu-ggml,host,0.002244
VIEW_1D,"{64,256,8,1}",{131072},64,256,8,cpu-ggml,host,0.002117
VIEW_1D,"{64,1024,1,1}",{65536},64,1024,1,cpu-ggml,host,0.002262
VIEW_1D,"{64,1024,2,1}",{131072},64,1024,2,cpu-ggml,host,0.002110
VIEW_1D,"{64,1024,4,1}",{262144},64,1024,4,cpu-ggml,host,0.002134
VIEW_1D,"{64,1024,8,1}",{524288},64,1024,8,cpu-ggml,host,0.001770
VIEW_1D,"{256,16,1,1}",{4096},256,16,1,cpu-ggml,host,0.001712
VIEW_1D,"{256,16,2,1}",{8192},256,16,2,cpu-ggml,host,0.001706
VIEW_1D,"{256,16,4,1}",{16384},256,16,4,cpu-ggml,host,0.001709
VIEW_1D,"{256,16,8,1}",{32768},256,16,8,cpu-ggml,host,0.001709
VIEW_1D,"{256,256,1,1}",{65536},256,256,1,cpu-ggml,host,0.001713
VIEW_1D,"{256,256,2,1}",{131072},256,256,2,cpu-ggml,host,0.001715
VIEW_1D,"{256,256,4,1}",{262144},256,256,4,cpu-ggml,host,0.001832
VIEW_1D,"{256,256,8,1}",{524288},256,256,8,cpu-ggml,host,0.001723
VIEW_1D,"{256,1024,1,1}",{262144},256,1024,1,cpu-ggml,host,0.001713
VIEW_1D,"{256,1024,2,1}",{524288},256,1024,2,cpu-ggml,host,0.001754
VIEW_1D,"{256,1024,4,1}",{1048576},256,1024,4,cpu-ggml,host,0.001499
VIEW_1D,"{256,1024,8,1}",{2097152},256,1024,8,cpu-ggml,host,0.001185
VIEW_1D,"{1024,16,1,1}",{16384},1024,16,1,cpu-ggml,host,0.001091
VIEW_1D,"{1024,16,2,1}",{32768},1024,16,2,cpu-ggml,host,0.001089
VIEW_1D,"{1024,16,4,1}",{65536},1024,16,4,cpu-ggml,host,0.001093
VIEW_1D,"{1024,16,8,1}",{131072},1024,16,8,cpu-ggml,host,0.001091
VIEW_1D,"{1024,256,1,1}",{262144},1024,256,1,cpu-ggml,host,0.001090
VIEW_1D,"{1024,256,2,1}",{524288},1024,256,2,cpu-ggml,host,0.001107
VIEW_1D,"{1024,256,4,1}",{1048576},1024,256,4,cpu-ggml,host,0.001168
VIEW_1D,"{1024,256,8,1}",{2097152},1024,256,8,cpu-ggml,host,0.001166
VIEW_1D,"{1024,1024,1,1}",{1048576},1024,1024,1,cpu-ggml,host,0.001013
VIEW_1D,"{1024,1024,2,1}",{2097152},1024,1024,2,cpu-ggml,host,0.001042
VIEW_1D,"{1024,1024,4,1}",{4194304},1024,1024,4,cpu-ggml,host,0.001108
VIEW_1D,"{1024,1024,8,1}",{8388608},1024,1024,8,cpu-ggml,host,0.001059
