op,in_shapes,out_shape,D,T,H,G,backend,device,avg_ms
VIEW_4D,"{8,1024,16,1}","{8,1024,16,1}",8,1024,16,1,cpu-ggml,host,0.000981
VIEW_4D,"{8,1024,16,2}","{8,1024,16,2}",8,1024,16,2,cpu-ggml,host,0.000974
VIEW_4D,"{8,1024,16,4}","{8,1024,16,4}",8,1024,16,4,cpu-ggml,host,0.000998
VIEW_4D,"{8,1024,16,8}","{8,1024,16,8}",8,1024,16,8,cpu-ggml,host,0.001082
VIEW_4D,"{64,4,2,1}","{64,4,2,1}",64,4,2,1,cpu-ggml,host,0.000966
VIEW_4D,"{64,4,2,2}","{64,4,2,2}",64,4,2,2,cpu-ggml,host,0.000964
VIEW_4D,"{64,4,2,4}","{64,4,2,4}",64,4,2,4,cpu-ggml,host,0.000964
VIEW_4D,"{64,4,2,8}","{64,4,2,8}",64,4,2,8,cpu-ggml,host,0.000963
VIEW_4D,"{64,4,4,1}","{64,4,4,1}",64,4,4,1,cpu-ggml,host,0.000969
VIEW_4D,"{64,4,4,2}","{64,4,4,2}",64,4,4,2,cpu-ggml,host,0.000965
VIEW_4D,"{64,4,4,4}","{64,4,4,4}",64,4,4,4,cpu-ggml,host,0.000962
VIEW_4D,"{64,4,4,8}","{64,4,4,8}",64,4,4,8,cpu-ggml,host,0.003199
VIEW_4D,"{64,4,8,1}","{64,4,8,1}",64,4,8,1,cpu-ggml,host,0.000964
VIEW_4D,"{64,4,8,2}","{64,4,8,2}",64,4,8,2,cpu-ggml,host,0.001480
VIEW_4D,"{64,4,8,4}","{64,4,8,4}",64,4,8,4,cpu-ggml,host,0.000973
VIEW_4D,"{64,4,8,8}","{64,4,8,8}",64,4,8,8,cpu-ggml,host,0.000963
VIEW_4D,"{64,4,16,1}","{64,4,16,1}",64,4,16,1,cpu-ggml,host,0.001057
VIEW_4D,"{64,4,16,2}","{64,4,16,2}",64,4,16,2,cpu-ggml,host,0.000990
VIEW_4D,"{64,4,16,4}","{64,4,16,4}",64,4,16,4,cpu-ggml,host,0.000993
VIEW_4D,"{64,4,16,8}","{64,4,16,8}",64,4,16,8,cpu-ggml,host,0.000964
VIEW_4D,"{64,64,2,1}","{64,64,2,1}",64,64,2,1,cpu-ggml,host,0.000963
VIEW_4D,"{64,64,2,2}","{64,64,2,2}",64,64,2,2,cpu-ggml,host,0.000965
VIEW_4D,"{64,64,2,4}","{64,64,2,4}",64,64,2,4,cpu-ggml,host,0.000965
VIEW_4D,"{64,64,2,8}","{64,64,2,8}",64,64,2,8,cpu-ggml,host,0.000974
VIEW_4D,"{64,64,4,1}","{64,64,4,1}",64,64,4,1,cpu-ggml,host,0.001055
VIEW_4D,"{64,64,4,2}","{64,64,4,2}",64,64,4,2,cpu-ggml,host,0.000965
VIEW_4D,"{64,64,4,4}","{64,64,4,4}",64,64,4,4,cpu-ggml,host,0.000993
VIEW_4D,"{64,64,4,8}","{64,64,4,8}",64,64,4,8,cpu-ggml,host,0.000967
VIEW_4D,"{64,64,8,1}","{64,64,8,1}",64,64,8,1,cpu-ggml,host,0.000965
VIEW_4D,"{64,64,8,2}","{64,64,8,2}",64,64,8,2,cpu-ggml,host,0.000966
VIEW_4D,"{64,64,8,4}","{64,64,8,4}",64,64,8,4,cpu-ggml,host,0.000970
VIEW_4D,"{64,64,8,8}","{64,64,8,8}",64,64,8,8,cpu-ggml,host,0.001729
VIEW_4D,"{64,64,16,1}","{64,64,16,1}",64,64,16,1,cpu-ggml,host,0.000967
VIEW_4D,"{64,64,16,2}","{64,64,16,2}",64,64,16,2,cpu-ggml,host,0.001224
VIEW_4D,"{64,64,16,4}","{64,64,16,4}",64,64,16,4,cpu-ggml,host,0.000976
VIEW_4D,"{64,64,16,8}","{64,64,16,8}",64,64,16,8,cpu-ggml,host,0.001119
VIEW_4D,"{64,256,2,1}","{64,256,2,1}",64,256,2,1,cpu-ggml,host,0.001002
VIEW_4D,"{64,256,2,2}","{64,256,2,2}",64,256,2,2,cpu-ggml,host,0.000970
VIEW_4D,"{64,256,2,4}","{64,256,2,4}",64,256,2,4,cpu-ggml,host,0.000974
VIEW_4D,"{64,256,2,8}","{64,256,2,8}",64,256,2,8,cpu-ggml,host,0.000979
VIEW_4D,"{64,256,4,1}","{64,256,4,1}",64,256,4,1,cpu-ggml,host,0.000990
VIEW_4D,"{64,256,4,2}","{64,256,4,2}",64,256,4,2,cpu-ggml,host,0.003806
VIEW_4D,"{64,256,4,4}","{64,256,4,4}",64,256,4,4,cpu-ggml,host,0.000969
VIEW_4D,"{64,256,4,8}","{64,256,4,8}",64,256,4,8,cpu-ggml,host,0.000985
VIEW_4D,"{64,256,8,1}","{64,256,8,1}",64,256,8,1,cpu-ggml,host,0.001005
VIEW_4D,"{64,256,8,2}","{64,256,8,2}",64,256,8,2,cpu-ggml,host,0.000975
VIEW_4D,"{64,256,8,4}","{64,256,8,4}",64,256,8,4,cpu-ggml,host,0.000986
VIEW_4D,"{64,256,8,8}","{64,256,8,8}",64,256,8,8,cpu-ggml,host,0.001061
VIEW_4D,"{64,256,16,1}","{64,256,16,1}",64,256,16,1,cpu-ggml,host,0.001550
VIEW_4D,"{64,256,16,2}","{64,256,16,2}",64,256,16,2,cpu-ggml,host,0.003487
VIEW_4D,"{64,256,16,4}","{64,256,16,4}",64,256,16,4,cpu-ggml,host,0.001029
VIEW_4D,"{64,256,16,8}","{64,256,16,8}",64,256,16,8,cpu-ggml,host,0.001066
VIEW_4D,"{64,1024,2,1}","{64,1024,2,1}",64,1024,2,1,cpu-ggml,host,0.001240
VIEW_4D,"{64,1024,2,2}","{64,1024,2,2}",64,1024,2,2,cpu-ggml,host,0.000972
VIEW_4D,"{64,1024,2,4}","{64,1024,2,4}",64,1024,2,4,cpu-ggml,host,0.001010
VIEW_4D,"{64,1024,2,8}","{64,1024,2,8}",64,1024,2,8,cpu-ggml,host,0.001009
VIEW_4D,"{64,1024,4,1}","{64,1024,4,1}",64,1024,4,1,cpu-ggml,host,0.000983
VIEW_4D,"{64,1024,4,2}","{64,1024,4,2}",64,1024,4,2,cpu-ggml,host,0.001000
VIEW_4D,"{64,1024,4,4}","{64,1024,4,4}",64,1024,4,4,cpu-ggml,host,0.001029
VIEW_4D,"{64,1024,4,8}","{64,1024,4,8}",64,1024,4,8,cpu-ggml,host,0.001060
VIEW_4D,"{64,1024,8,1}","{64,1024,8,1}",64,1024,8,1,cpu-ggml,host,0.001001
VIEW_4D,"{64,1024,8,2}","{64,1024,8,2}",64,1024,8,2,cpu-ggml,host,0.001041
VIEW_4D,"{64,1024,8,4}","{64,1024,8,4}",64,1024,8,4,cpu-ggml,host,0.001051
VIEW_4D,"{64,1024,8,8}","{64,1024,8,8}",64,1024,8,8,cpu-ggml,host,0.001070
VIEW_4D,"{64,1024,16,1}","{64,1024,16,1}",64,1024,16,1,cpu-ggml,host,0.001680
VIEW_4D,"{64,1024,16,2}","{64,1024,16,2}",64,1024,16,2,cpu-ggml,host,0.001057
VIEW_4D,"{64,1024,16,4}","{64,1024,16,4}",64,1024,16,4,cpu-ggml,host,0.001053
VIEW_4D,"{64,1024,16,8}","{64,1024,16,8}",64,1024,16,8,cpu-ggml,host,0.001098
VIEW_4D,"{256,4,2,1}","{256,4,2,1}",256,4,2,1,cpu-ggml,host,0.000992
VIEW_4D,"{256,4,2,2}","{256,4,2,2}",256,4,2,2,cpu-ggml,host,0.000969
VIEW_4D,"{256,4,2,4}","{256,4,2,4}",256,4,2,4,cpu-ggml,host,0.000957
VIEW_4D,"{256,4,2,8}","{256,4,2,8}",256,4,2,8,cpu-ggml,host,0.001483
VIEW_4D,"{256,4,4,1}","{256,4,4,1}",256,4,4,1,cpu-ggml,host,0.001482
VIEW_4D,"{256,4,4,2}","{256,4,4,2}",256,4,4,2,cpu-ggml,host,0.001243
VIEW_4D,"{256,4,4,4}","{256,4,4,4}",256,4,4,4,cpu-ggml,host,0.000964
VIEW_4D,"{256,4,4,8}","{256,4,4,8}",256,4,4,8,cpu-ggml,host,0.000970
VIEW_4D,"{256,4,8,1}","{256,4,8,1}",256,4,8,1,cpu-ggml,host,0.000969
VIEW_4D,"{256,4,8,2}","{256,4,8,2}",256,4,8,2,cpu-ggml,host,0.000967
VIEW_4D,"{256,4,8,4}","{256,4,8,4}",256,4,8,4,cpu-ggml,host,0.000972
VIEW_4D,"{256,4,8,8}","{256,4,8,8}",256,4,8,8,cpu-ggml,host,0.000972
VIEW_4D,"{256,4,16,1}","{256,4,16,1}",256,4,16,1,cpu-ggml,host,0.001505
VIEW_4D,"{256,4,16,2}","{256,4,16,2}",256,4,16,2,cpu-ggml,host,0.000955
