op,in_shapes,out_shape,D,T,H,group,backend,device,avg_ms
VIEW_3D,"{8,1024,16,4}","{32,1024,16}",8,1024,16,4,cpu-ggml,host,0.000990
VIEW_3D,"{8,1024,16,8}","{64,1024,16}",8,1024,16,8,cpu-ggml,host,0.001048
VIEW_3D,"{64,4,2,1}","{64,4,2}",64,4,2,1,cpu-ggml,host,0.001002
VIEW_3D,"{64,4,2,2}","{128,4,2}",64,4,2,2,cpu-ggml,host,0.001224
VIEW_3D,"{64,4,2,4}","{256,4,2}",64,4,2,4,cpu-ggml,host,0.000968
VIEW_3D,"{64,4,2,8}","{512,4,2}",64,4,2,8,cpu-ggml,host,0.000967
VIEW_3D,"{64,4,4,1}","{64,4,4}",64,4,4,1,cpu-ggml,host,0.000967
VIEW_3D,"{64,4,4,2}","{128,4,4}",64,4,4,2,cpu-ggml,host,0.000967
VIEW_3D,"{64,4,4,4}","{256,4,4}",64,4,4,4,cpu-ggml,host,0.000967
VIEW_3D,"{64,4,4,8}","{512,4,4}",64,4,4,8,cpu-ggml,host,0.000967
VIEW_3D,"{64,4,8,1}","{64,4,8}",64,4,8,1,cpu-ggml,host,0.000966
VIEW_3D,"{64,4,8,2}","{128,4,8}",64,4,8,2,cpu-ggml,host,0.000966
VIEW_3D,"{64,4,8,4}","{256,4,8}",64,4,8,4,cpu-ggml,host,0.001245
VIEW_3D,"{64,4,8,8}","{512,4,8}",64,4,8,8,cpu-ggml,host,0.001511
VIEW_3D,"{64,4,16,1}","{64,4,16}",64,4,16,1,cpu-ggml,host,0.000969
VIEW_3D,"{64,4,16,2}","{128,4,16}",64,4,16,2,cpu-ggml,host,0.000969
VIEW_3D,"{64,4,16,4}","{256,4,16}",64,4,16,4,cpu-ggml,host,0.000968
VIEW_3D,"{64,4,16,8}","{512,4,16}",64,4,16,8,cpu-ggml,host,0.000971
VIEW_3D,"{64,64,2,1}","{64,64,2}",64,64,2,1,cpu-ggml,host,0.000969
VIEW_3D,"{64,64,2,2}","{128,64,2}",64,64,2,2,cpu-ggml,host,0.000967
VIEW_3D,"{64,64,2,4}","{256,64,2}",64,64,2,4,cpu-ggml,host,0.000971
