name,cpus,n_cpus,load_vector,measured_ms_median,predicted_ms,relative_error,missing_single_cpus,repeats
probe_2_easy,"60,61",2,"60:0,61:50",85.8467,78.65814392229899,0.08373712766712067,,1
probe_4_balanced,"60,61,62,63",4,"60:0,61:0,62:50,63:50",47.2585,39.37619435451654,0.16679127872199617,,1
probe_4_bad,"60,61,62,63",4,"60:0,61:20,62:60,63:100",131.934,39.82403806396572,0.6981518178485778,,1
probe_8_gradient,"60,61,62,63,64,65,66,67",8,"60:0,61:10,62:20,63:30,64:60,65:70,66:90,67:100",38.0266,19.949894342605727,0.4753700214427341,,1
probe_8_bad,"60,61,62,63,64,65,66,67",8,"60:0,61:0,62:0,63:0,64:80,65:80,66:100,67:100",5998.63,19.7901053807849,0.9967008958077453,,1
