row_id,split,source,name,cpus,load_vector,Q_pct,latency_ms
100,test,uniform_multi,multi_60_61_load20,"60,61","60:20,61:20",100,80.818
101,train,uniform_multi,multi_60_61_62_63_load20,"60,61,62,63","60:20,61:20,62:20,63:20",100,47.8114
102,train,uniform_multi,multi_60_61_62_63_64_65_load20,"60,61,62,63,64,65","60:20,61:20,62:20,63:20,64:20,65:20",100,36.4969
103,train,uniform_multi,multi_60_61_62_63_64_65_66_67_load20,"60,61,62,63,64,65,66,67","60:20,61:20,62:20,63:20,64:20,65:20,66:20,67:20",100,40.4118
104,train,uniform_multi,multi_60_62_load20,"60,62","60:20,62:20",100,84.943
105,train,uniform_multi,multi_61_63_load20,"61,63","61:20,63:20",100,83.7914
106,test,uniform_multi,multi_60_61_load30,"60,61","60:30,61:30",100,85.8965
107,train,uniform_multi,multi_60_61_62_63_load30,"60,61,62,63","60:30,61:30,62:30,63:30",100,47.6756
108,test,uniform_multi,multi_60_61_62_63_64_65_load30,"60,61,62,63,64,65","60:30,61:30,62:30,63:30,64:30,65:30",100,36.5985
109,train,uniform_multi,multi_60_61_62_63_64_65_66_67_load30,"60,61,62,63,64,65,66,67","60:30,61:30,62:30,63:30,64:30,65:30,66:30,67:30",100,69.6333
110,test,uniform_multi,multi_60_62_load30,"60,62","60:30,62:30",100,87.6059
111,train,uniform_multi,multi_61_63_load30,"61,63","61:30,63:30",100,87.7659
112,train,uniform_multi,multi_60_61_load40,"60,61","60:40,61:40",100,90.6598
113,train,uniform_multi,multi_60_61_62_63_load40,"60,61,62,63","60:40,61:40,62:40,63:40",100,49.2177
114,test,uniform_multi,multi_60_61_62_63_64_65_load40,"60,61,62,63,64,65","60:40,61:40,62:40,63:40,64:40,65:40",100,37.7437
115,test,uniform_multi,multi_60_61_62_63_64_65_66_67_load40,"60,61,62,63,64,65,66,67","60:40,61:40,62:40,63:40,64:40,65:40,66:40,67:40",100,38.8865
116,train,uniform_multi,multi_60_62_load40,"60,62","60:40,62:40",100,89.5047
117,test,uniform_multi,multi_61_63_load40,"61,63","61:40,63:40",100,82.1405
118,train,uniform_multi,multi_60_61_load50,"60,61","60:50,61:50",100,87.0193
