rate	repeat	decode_tps	e2e_tps	decode_sec
0	1	9.99786	9.97018	2.40051
0	2	9.98711	9.95974	2.4031
0	3	10.1058	10.0778	2.37487
0.5	1	10.1397	10.1117	2.36693
0.5	2	10.0949	10.0674	2.37744
0.5	3	10.148	10.12	2.365
0.7	1	10.1584	10.1302	2.36258
0.7	2	10.0897	10.0618	2.37866
0.7	3	10.0754	10.0477	2.38204
0.8	1	10.1321	10.1044	2.36871
0.8	2	10.1786	10.1502	2.35789
0.8	3	10.0902	10.0627	2.37854
