rate	repeat	decode_tps	e2e_tps	decode_sec
0	1	35.402	34.9788	0.677928
0	2	35.1421	34.7253	0.682941
0	3	30.3148	30.0117	0.791694
0.5	1	30.5489	30.2416	0.785625
0.5	2	30.5418	30.2396	0.785809
0.5	3	29.2937	28.9999	0.81929
0.7	1	29.4014	29.1167	0.816289
0.7	2	29.7865	29.5031	0.805734
0.7	3	28.2814	28.0112	0.848615
0.8	1	28.5816	28.3111	0.839702
0.8	2	28.5784	28.3139	0.839795
0.8	3	27.7995	27.5413	0.863325
