scenario,n_cores,cpus,loads,calibration_baseline_tok_s,calibration_best_policy,calibration_best_tok_s,calibration_best_speedup,selected_policy,validation_baseline_tok_s,validation_scheduler_tok_s,validation_speedup
4c_ramp_light,4,"60,61,62,63","0,10,20,30",22.1854,trunc_even_0.9,28.6528,1.2915160420817293,trunc_even_0.9,22.0059,28.4358,1.2921898218205117
4c_mixed,4,"60,61,62,63","0,30,60,90",21.928,trunc_even_0.8,24.5726,1.1206037942356804,trunc_even_0.9,17.7515,21.5304,1.2128777849759176
4c_front_hot,4,"60,61,62,63","90,70,20,0",18.6866,trunc_even_0.9,21.7283,1.1627743944858884,baseline_no_svd,21.4254,21.4254,1.0
4c_high,4,"60,61,62,63","70,80,90,100",20.3847,trunc_even_0.9,25.3667,1.2443989855136453,trunc_even_0.9,20.201,25.9694,1.2855502202861244
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",28.4292,trunc_even_0.8,32.3483,1.1378547409002011,trunc_even_0.9,28.0592,36.9203,1.3158001653646574
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",20.9976,trunc_even_0.8,29.7174,1.4152760315464625,baseline_no_svd,25.7929,25.7929,1.0
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",0.559179,trunc_even_0.9,33.4682,59.85239073713427,baseline_no_svd,23.2345,23.2345,1.0
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",28.5704,trunc_even_0.9,36.8347,1.289260913392882,trunc_even_0.9,25.4855,36.7719,1.442855741500069
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",0.684814,trunc_even_0.9,35.7146,52.15226324228184,baseline_no_svd,32.038,32.038,1.0
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",0.164692,trunc_even_0.8,32.113,194.98822043572244,baseline_no_svd,24.4155,24.4155,1.0
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",23.8078,baseline_no_svd,23.8078,1.0,baseline_no_svd,25.1563,25.1563,1.0
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",31.5758,trunc_even_0.8,37.3034,1.181392078743848,trunc_even_0.9,26.6859,41.4828,1.5544838285386664
